State_UT_Code,lfpr,wpr,ur
1,65.0372033487628,61.4093919302696,5.57805568458874
2,72.8469736306524,68.9664485002746,5.32695448688481
3,55.075057388953,52.3869896125708,4.88073531616755
4,58.7527117128337,53.9226140630655,8.22106335002255
5,61.8522421983195,59.8031669221283,3.31285528764042
6,51.1862645089885,49.0530739825049,4.16750576926535
7,44.6633771756663,43.6978291097041,2.16183398349952
8,65.0560709918695,62.2869059825525,4.256582002413
9,54.6571303534692,53.0148754661116,3.00464893919069
10,51.5693805286458,49.8963556113049,3.24422147443004
11,76.1404143455393,74.9866226017348,1.51534734046543
12,73.4694449105648,68.9580855690564,6.1404565489778
13,74.787894319988,67.6662410601502,9.5224679402887
14,61.3993238397491,57.3957141394133,6.52060877866538
15,52.2807879204776,50.7772332181546,2.87592203967933
16,61.676647751051,60.499339331138,1.90883983297057
17,74.2156617677734,68.8278420977164,7.259680156078
18,67.0450741250235,64.0803984823223,4.42191418443777
19,60.2070729410297,58.4871250819745,2.85672060613196
20,61.4818167585253,60.6026158437648,1.43001778593114
21,64.5524321661082,62.5325384872997,3.12907447640511
22,72.0655664442342,70.8248580716148,1.72163827169732
23,66.8194080745934,65.6638971737485,1.72930430565164
24,64.9894943340374,64.1442544529815,1.30057925472005
25,69.3700052978357,68.2176665760883,1.6611483836564
27,59.2866807391217,57.5763036783818,2.88492632648148
28,58.0843877871231,55.761461395723,3.99922678003159
29,58.139513467433,56.5902773145019,2.66468716460617
30,53.2957573580273,48.8432450105465,8.3543467026277
31,49.7513734522743,45.0275221911204,9.49491628745778
32,55.6517015937917,51.9105882659307,6.72237006366463
33,61.9165816626917,59.8597144316964,3.32199739675653
34,52.8728449069833,49.9265171529595,5.57247819595698
35,60.6597564755908,53.1127571499538,12.4415259211828
36,59.4951582956396,56.7048382224264,4.68999520826169
37,60.0891087937352,57.5277872035071,4.26253882216865
